SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),2010 S 31st St,Milwaukee,WI,53215,21500,4,2,,2321,4802,1915,,9,,,,,http://www.redfin.com/WI/Milwaukee/2010-S-31st-St-53215/home/90235824,,,N,Y,43.0082416,-87.9526064
PAST SALE,July-19-2019,Multi-Family (2-4 Unit),3201 S 35th St,Milwaukee,WI,53215,303000,,,Milwaukee,3878,8276,1952,161,78,,Sold,,,http://www.redfin.com/WI/Milwaukee/3201-S-35th-St-53215/home/58068447,METROMLS,1641018,N,Y,42.9864169,-87.9585109
PAST SALE,July-5-2019,Multi-Family (2-4 Unit),2507 S 28th St #2509,Milwaukee,WI,53215,151900,4,2,Milwaukee,2770,4791,1917,175,55,,Sold,,,http://www.redfin.com/WI/Milwaukee/2507-S-28th-St-53215/unit-2509/home/90373121,METROMLS,1639770,N,Y,42.9992396,-87.9496954
PAST SALE,,Multi-Family (2-4 Unit),2234 S 26th St,Milwaukee,WI,53215,52000,4,2,,1740,4200,1910,,30,,,,,http://www.redfin.com/WI/Milwaukee/2234-S-26th-St-53215/home/90235785,,,N,Y,43.0041238,-87.9462655
PAST SALE,July-16-2019,Multi-Family (2-4 Unit),2026 S Layton Blvd,Milwaukee,WI,53215,283000,,,Milwaukee,4292,8712,1978,164,66,,Sold,,,http://www.redfin.com/WI/Milwaukee/2026-S-Layton-Blvd-53215/home/90372274,METROMLS,1640770,N,Y,43.0078616,-87.9475162
PAST SALE,,Multi-Family (2-4 Unit),2333 S 11th St Unit A,Milwaukee,WI,53215,21000,4,2,,1457,3720,1906,,14,,,,,http://www.redfin.com/WI/Milwaukee/2333-S-11th-St-53215/unit-A/home/90237198,,,N,Y,43.0020779,-87.9261833
PAST SALE,July-12-2019,Multi-Family (2-4 Unit),3327 S 18th St,Milwaukee,WI,53215,170000,4,2,Milwaukee,2058,4356,1929,168,83,,Sold,,,http://www.redfin.com/WI/Milwaukee/3327-S-18th-St-53215/home/58055697,METROMLS,1644590,N,Y,42.984093,-87.936513
PAST SALE,,Multi-Family (2-4 Unit),1745 S 18th St,Milwaukee,WI,53204,35000,3,3,,1516,3000,1880,,23,,,,,http://www.redfin.com/WI/Milwaukee/1745-S-18th-St-53204/home/90370777,,,N,Y,43.011309,-87.935721
PAST SALE,July-25-2019,Multi-Family (2-4 Unit),2040 S 17th St Unit A,Milwaukee,WI,53204,125000,6,2,Milwaukee,2088,3920,1905,155,60,,Sold,,,http://www.redfin.com/WI/Milwaukee/2040-S-17th-St-53204/unit-A/home/90371955,METROMLS,1607423,N,Y,43.007432,-87.9339789
PAST SALE,,Multi-Family (2-4 Unit),1662 S Layton Blvd #1664,Milwaukee,WI,53215,105000,6,2,,2314,4140,1908,,45,,,,,http://www.redfin.com/WI/Milwaukee/1662-S-Layton-Blvd-53215/unit-1664/home/90370394,,,N,Y,43.0127345,-87.9474308
PAST SALE,July-31-2019,Multi-Family (2-4 Unit),3524 N 38th St #3526,Milwaukee,WI,53216,60000,4,2,Milwaukee,2350,4791,1929,149,26,,Sold,,,http://www.redfin.com/WI/Milwaukee/3524-N-38th-St-53216/unit-3526/home/109000681,METROMLS,1636216,N,Y,43.0831237,-87.9605302
PAST SALE,,Multi-Family (2-4 Unit),3307 N 77th St,Milwaukee,WI,53222,136000,4,2,,1713,7920,1937,,79,,,,,http://www.redfin.com/WI/Milwaukee/3307-N-77th-St-53222/home/90217026,,,N,Y,43.0791719,-88.0089191
PAST SALE,,Multi-Family (2-4 Unit),5640 N 61st St,Milwaukee,WI,53218,39300,6,2,,1728,5610,1954,,23,,,,,http://www.redfin.com/WI/Milwaukee/5640-N-61st-St-53218/home/90346060,,,N,Y,43.1204992,-87.9870051
PAST SALE,,Multi-Family (2-4 Unit),6307 N 100th St,Milwaukee,WI,53225,173000,8,4,,4224,12196,1970,,41,,,,,http://www.redfin.com/WI/Milwaukee/6307-N-100th-St-53225/home/81078784,,,N,Y,43.1322349,-88.0369582
